院校代码,院校名称,PDF页,书内页,专业组数,专业条目数,需目视复核专业组数
1035,北京大学医学部,3,52,2,6,2
1068,北京协和医学院,8,57,1,0,1
1075,北京中医药大学,9,58,3,16,2
1111,长春中医药大学,13,62,2,5,1
1161,成都医学院,17,66,1,3,1
1164,成都中医药大学,17,66,5,15,3
1166,承德医学院,17,66,3,3,1
1223,重庆医科大学,20,69,5,15,5
1231,重庆中医药学院,21,70,3,6,1
1235,川北医学院,21,70,2,2,0
1254,大连医科大学,"23,24","72,73",10,13,3
1310,福建医科大学,31,80,6,14,4
1312,福建中医药大学,31,80,5,10,3
1327,复旦大学医学院,33,82,3,8,1
1339,甘肃医学院,33,82,2,7,1
1342,甘肃中医药大学,33,82,7,19,4
1348,赣南医科大学,"34,35","83,84",9,28,5
1391,广东医科大学,37,86,2,7,1
1419,广西医科大学,39,88,3,7,1
1423,广西中医药大学,39,88,6,8,3
1452,广州医科大学,40,89,4,8,3
1455,广州中医药大学,40,89,5,12,5
1485,贵州医科大学,"41,42","90,91",10,15,5
1488,贵州中医药大学,42,91,3,5,2
1497,桂林医科大学,43,92,8,7,1
1519,哈尔滨医科大学,"46,47","95,96",9,29,5
1524,海军军医大学,47,96,3,8,1
1540,海南医科大学,"48,49","97,98",9,28,6
1554,杭州医学院,50,99,1,1,0
1596,河北医科大学,54,103,3,10,3
1598,河北中医药大学,54,103,5,7,2
1629,河南医药大学,58,107,2,9,0
1632,河南中医药大学,58,107,7,14,1
1669,黑龙江中医药大学,60,109,6,15,1
1709,湖北医药学院,"62,63","111,112",2,13,1
1713,湖北中医药大学,63,112,6,32,4
1764,湖南医药学院,66,115,3,7,1
1768,湖南中医药大学,66,115,6,27,5
1826,吉林医药学院,"75,76","124,125",5,50,4
1837,济宁医学院,76,125,4,25,1
1933,江西中医药大学,83,132,8,26,4
1943,锦州医科大学,"83,84","132,133",5,18,3
1971,康复大学,85,134,4,8,1
1974,空军军医大学,85,134,3,6,2
1985,昆明医科大学,86,135,3,11,2
2052,辽宁中医药大学,"91,92","140,141",7,16,2
2079,陆军军医大学,93,142,2,6,1
2109,牡丹江医科大学,94,143,5,15,2
2118,南昌医学院,97,146,8,17,1
2126,南方医科大学,97,146,5,21,4
2155,南京医科大学,103,152,12,11,4
2158,南京中医药大学,103,152,6,42,5
2191,内蒙古医科大学,"106,107","155,156",6,7,1
2207,宁夏医科大学,109,158,6,22,3
2225,齐鲁医药学院,110,159,13,11,5
2229,齐齐哈尔医学院,110,159,13,25,2
2304,山东第二医科大学,115,164,4,17,3
2305,山东第一医科大学,"115,116","164,165",32,50,11
2347,山东协和学院,118,167,3,15,1
2350,山东医药大学,"118,119","167,168",6,15,2
2356,山东中医药大学,119,168,2,18,1
2375,山西医科大学,"120,121","169,170",9,33,5
2377,山西中医药大学,121,170,7,15,5
2399,陕西中医药大学,122,171,9,9,5
2431,上海健康医学院,125,174,9,40,2
2433,上海交通大学医学院,126,175,4,5,3
2466,上海中医药大学,128,177,6,13,3
2497,沈阳药科大学,"132,133","181,182",2,25,2
2498,沈阳医学院,133,182,4,11,4
2517,首都医科大学,134,183,2,9,2
2653,天津医科大学,"142,143","191,192",6,18,3
2660,天津中医药大学,143,192,7,24,3
2691,温州医科大学,145,194,4,23,4
2785,西安医学院,154,203,4,4,1
2813,西南医科大学,160,209,5,7,2
2829,厦门医学院,"161,162","210,211",3,8,0
2846,新疆第二医学院,163,212,2,12,2
2867,新疆医科大学,165,214,4,30,3
2891,徐州医科大学,166,215,1,8,1
2936,右江民族医学院,169,218,8,12,4
2941,豫北医学院,"169,170","218,219",5,76,4
2965,云南中医药大学,171,220,9,19,5
2986,肇庆医学院,171,220,4,7,1
3025,浙江药科职业大学,175,224,1,4,0
3031,浙江中医药大学,176,225,8,24,4
3042,郑州健康学院,177,226,1,4,1
3089,中国药科大学,"185,186","234,235",5,18,0
3124,遵义医科大学,189,238,5,10,3
5002,北京中医药大学东方学院,"189,190","238,239",4,28,4
5010,大连医科大学中山学院,190,239,5,13,3
5020,广西中医药大学赛恩斯新医药学院,191,240,0,0,0
5034,湖南中医药大学湘杏学院,192,241,2,4,0
5044,锦州医科大学医疗学院,193,242,1,5,1
5046,昆明医科大学海源学院,194,243,3,5,1
5048,辽宁中医药大学杏林学院,194,243,1,3,1
5060,南京医科大学康达学院,196,245,4,10,3
5081,天津医科大学临床医学院,198,247,7,6,3
5082,温州医科大学仁济学院,198,247,3,6,1
5104,遵义医科大学医学与科技学院,200,249,1,1,0
9009,安徽医科大学,204,253,10,2,10
9010,安徽中医药大学,"204,205","253,254",9,42,5
9014,蚌埠医科大学,206,255,10,21,4
9017,皖南医科大学,207,256,7,26,6
9120,安徽第二医学院,"210,211","259,260",6,9,3
9212,安徽医科大学临床医学院,213,262,2,14,2
